what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.2.0.v20141202-1415,"org.eclipse.jsch.core",1455856586417
started,bundle,org.eclipse.ltk.core.refactoring,3.6.201.v20150819-1034,"org.eclipse.ltk.core.refactoring",1455856586418
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring",1455856586421
started,bundle,org.eclipse.m2e.logback.configuration,1.6.2.20150902-0002,"org.eclipse.m2e.logback.configuration",1455856586422
started,bundle,org.eclipse.mylyn.bugzilla.core,3.17.0.v20150828-2026,"org.eclipse.mylyn.bugzilla.core",1455856586423
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.17.0.v20150717-1708,"org.eclipse.mylyn.bugzilla.ui",1455856586423
started,bundle,org.eclipse.mylyn.builds.ui,1.9.0.v20150908-1655,"org.eclipse.mylyn.builds.ui",1455856586424
started,bundle,org.eclipse.mylyn.commons.core,3.17.0.v20150625-2042,"org.eclipse.mylyn.commons.core",1455856586427
started,bundle,org.eclipse.mylyn.commons.net,3.17.0.v20150706-2057,"org.eclipse.mylyn.commons.net",1455856586427
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.9.0.v20150625-2042,"org.eclipse.mylyn.commons.notifications.core",1455856586427
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.9.0.v20150828-2041,"org.eclipse.mylyn.commons.notifications.feed",1455856586428
started,bundle,org.eclipse.mylyn.commons.repositories.ui,1.9.0.v20150625-2042,"org.eclipse.mylyn.commons.repositories.ui",1455856586428
started,bundle,org.eclipse.mylyn.commons.ui,3.17.0.v20150828-2041,"org.eclipse.mylyn.commons.ui",1455856586429
started,bundle,org.eclipse.mylyn.commons.workbench,3.17.0.v20150828-2041,"org.eclipse.mylyn.commons.workbench",1455856586430
started,bundle,org.eclipse.mylyn.context.core,3.17.0.v20150625-2044,"org.eclipse.mylyn.context.core",1455856586430
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.17.0.v20150625-2044,"org.eclipse.mylyn.context.tasks.ui",1455856586438
started,bundle,org.eclipse.mylyn.monitor.ui,3.17.0.v20150828-2041,"org.eclipse.mylyn.monitor.ui",1455856586439
started,bundle,org.eclipse.mylyn.tasks.ui,3.17.0.v20150909-1822,"org.eclipse.mylyn.tasks.ui",1455856586441
started,bundle,org.eclipse.mylyn.team.ui,3.17.0.v20150625-2044,"org.eclipse.mylyn.team.ui",1455856586442
started,bundle,org.eclipse.oomph.base,1.2.0.v20150915-0926,"org.eclipse.oomph.base",1455856586450
started,bundle,org.eclipse.oomph.base.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.base.edit",1455856586451
started,bundle,org.eclipse.oomph.jreinfo.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.jreinfo.ui",1455856586452
started,bundle,org.eclipse.oomph.p2,1.2.0.v20150915-0926,"org.eclipse.oomph.p2",1455856586452
started,bundle,org.eclipse.oomph.p2.core,1.2.0.v20150915-0926,"org.eclipse.oomph.p2.core",1455856586453
started,bundle,org.eclipse.oomph.p2.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.p2.edit",1455856586454
started,bundle,org.eclipse.oomph.p2.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.p2.ui",1455856586455
started,bundle,org.eclipse.oomph.predicates,1.2.0.v20150915-0926,"org.eclipse.oomph.predicates",1455856586456
started,bundle,org.eclipse.oomph.predicates.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.predicates.edit",1455856586456
started,bundle,org.eclipse.oomph.preferences,1.2.0.v20150915-0926,"org.eclipse.oomph.preferences",1455856586457
started,bundle,org.eclipse.oomph.resources,1.2.0.v20150915-0926,"org.eclipse.oomph.resources",1455856586458
started,bundle,org.eclipse.oomph.setup,1.2.0.v20150915-0926,"org.eclipse.oomph.setup",1455856586459
started,bundle,org.eclipse.oomph.setup.core,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.core",1455856586465
started,bundle,org.eclipse.oomph.setup.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.edit",1455856586466
started,bundle,org.eclipse.oomph.setup.p2,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.p2",1455856586467
started,bundle,org.eclipse.oomph.setup.p2.edit,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.p2.edit",1455856586468
started,bundle,org.eclipse.oomph.setup.sync,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.sync",1455856586471
started,bundle,org.eclipse.oomph.setup.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.setup.ui",1455856586472
started,bundle,org.eclipse.oomph.ui,1.2.0.v20150915-0926,"org.eclipse.oomph.ui",1455856586472
started,bundle,org.eclipse.oomph.util,1.2.0.v20150915-0926,"org.eclipse.oomph.util",1455856586473
started,bundle,org.eclipse.oomph.workingsets,1.2.0.v20150915-0926,"org.eclipse.oomph.workingsets",1455856586474
started,bundle,org.eclipse.oomph.workingsets.editor,1.2.0.v20150915-0926,"org.eclipse.oomph.workingsets.editor",1455856586475
started,bundle,org.eclipse.team.core,3.7.100.v20150203-1452,"org.eclipse.team.core",1455856586476
started,bundle,org.eclipse.team.ui,3.7.200.v20150203-1452,"org.eclipse.team.ui",1455856586477
started,bundle,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui",1455856586479
started,bundle,org.eclipse.ui.console,3.6.100.v20150822-1912,"org.eclipse.ui.console",1455856586480
started,bundle,org.eclipse.ui.editors,3.9.0.v20150213-1939,"org.eclipse.ui.editors",1455856586480
started,bundle,org.eclipse.ui.forms,3.6.200.v20150506-2029,"org.eclipse.ui.forms",1455856586480
started,bundle,org.eclipse.ui.ide,3.11.0.v20150825-2158,"org.eclipse.ui.ide",1455856586482
started,bundle,org.eclipse.ui.ide.application,1.1.0.v20150422-0725,"org.eclipse.ui.ide.application",1455856586483
started,bundle,org.eclipse.ui.monitoring,1.0.0.v20150512-1436,"org.eclipse.ui.monitoring",1455856586484
started,bundle,org.eclipse.ui.navigator,3.6.0.v20150422-0725,"org.eclipse.ui.navigator",1455856586485
started,bundle,org.eclipse.ui.navigator.resources,3.5.0.v20150422-0725,"org.eclipse.ui.navigator.resources",1455856586495
started,bundle,org.eclipse.ui.net,1.2.200.v20120807-0927,"org.eclipse.ui.net",1455856586495
started,bundle,org.eclipse.ui.themes,1.1.0.v20150511-0913,"org.eclipse.ui.themes",1455856586495
started,bundle,org.eclipse.ui.views,3.8.0.v20150422-0725,"org.eclipse.ui.views",1455856586496
started,bundle,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"org.eclipse.ui.workbench",1455856586499
started,bundle,org.eclipse.ui.workbench.texteditor,3.9.100.v20141023-1946,"org.eclipse.ui.workbench.texteditor",1455856586500
started,bundle,org.eclipse.update.configurator,3.3.300.v20140518-1928,"org.eclipse.update.configurator",1455856586503
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1455856586505
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1455856586508
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1455856586510
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1455856586511
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1455856586511
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1455856586512
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1455856586513
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1455856586517
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1455856586518
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1455856586519
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1455856586519
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1455856586519
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1455856586520
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1455856586523
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1455856586529
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1455856586533
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1455856586537
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1455856586538
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1455856586539
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1455856586540
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1455856586547
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1455856586548
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1455856586549
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1455856586550
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1455856586552
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1455856586552
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1455856586553
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1455856586553
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1455856586555
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1455856586555
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1455856586556
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1455856586557
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1455856586558
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1455856586559
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1455856586559
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1455856586560
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1455856586562
os,sysinfo,,,"linux",1455856586566
arch,sysinfo,,,"x86_64",1455856586566
ws,sysinfo,,,"gtk",1455856586566
locale,sysinfo,,,"es_CO",1455856586566
processors,sysinfo,,,"4",1455856586566
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455856586566
java.runtime.version,sysinfo,,,"1.8.0_72-b15",1455856586566
java.specification.name,sysinfo,,,"Java Platform API Specification",1455856586566
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455856586566
java.specification.version,sysinfo,,,"1.8",1455856586566
java.vendor,sysinfo,,,"Oracle Corporation",1455856586566
java.version,sysinfo,,,"1.8.0_72",1455856586566
java.vm.info,sysinfo,,,"mixed mode",1455856586566
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455856586566
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455856586566
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455856586566
java.vm.specification.version,sysinfo,,,"1.8",1455856586566
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455856586566
java.vm.version,sysinfo,,,"25.72-b15",1455856586566
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856588756
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856588848
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856609085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1455856609180
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856611645
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856906927
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856910526
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.import",1455856913405
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856913434
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856917375
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.export",1455856932589
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856932615
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856936613
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.export",1455856960983
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856961004
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1455856967343
